date,Civilian Labor Force Level (000s) YoY %,Labor Force Participation Rate YoY %,Employment-Population Ratio YoY %,Total Nonfarm Payrolls (000s) YoY %,Average Hourly Earnings - All Employees YoY %,Average Weekly Hours - All Employees YoY %,Average Hourly Earnings - Production Workers YoY %
1940-01-01,,,,5.6144,,,
1940-02-01,,,,5.3654,,,
1940-03-01,,,,5.1024,,,
1940-04-01,,,,5.3399,,,
1940-05-01,,,,5.2147,,,
1940-06-01,,,,4.8357,,,
1940-07-01,,,,5.0067,,,
1940-08-01,,,,5.5083,,,
1940-09-01,,,,5.733,,,
1940-10-01,,,,5.9088,,,
1940-11-01,,,,6.9876,,,
1940-12-01,,,,8.3444,,,
1941-01-01,,,,9.1067,,,
1941-02-01,,,,9.8628,,,
1941-03-01,,,,10.2655,,,
1941-04-01,,,,11.8829,,,
1941-05-01,,,,13.4979,,,
1941-06-01,,,,14.6136,,,
1941-07-01,,,,16.2639,,,
1941-08-01,,,,16.0485,,,
1941-09-01,,,,15.3155,,,
1941-10-01,,,,14.074,,,
1941-11-01,,,,12.9347,,,
1941-12-01,,,,11.5,,,
1942-01-01,,,,11.212,,,
1942-02-01,,,,10.5301,,,
1942-03-01,,,,10.9512,,,
1942-04-01,,,,10.9507,,,
1942-05-01,,,,9.9193,,,
1942-06-01,,,,9.2196,,,
1942-07-01,,,,8.9803,,,
1942-08-01,,,,9.1732,,,
1942-09-01,,,,9.0498,,,
1942-10-01,,,,9.3968,,,
1942-11-01,,,,9.5992,,,
1942-12-01,,,,10.0016,,,
1943-01-01,,,,9.9747,,,
1943-02-01,,,,10.0774,,,
1943-03-01,,,,9.2898,,,
1943-04-01,,,,8.3731,,,
1943-05-01,,,,7.1032,,,
1943-06-01,,,,6.875,,,
1943-07-01,,,,5.505,,,
1943-08-01,,,,3.8011,,,
1943-09-01,,,,2.9884,,,
1943-10-01,,,,2.7942,,,
1943-11-01,,,,2.7523,,,
1943-12-01,,,,1.9826,,,
1944-01-01,,,,1.1429,,,
1944-02-01,,,,0.342,,,
1944-03-01,,,,-0.6063,,,
1944-04-01,,,,-1.3694,,,
1944-05-01,,,,-1.4344,,,
1944-06-01,,,,-1.9495,,,
1944-07-01,,,,-1.8642,,,
1944-08-01,,,,-1.6359,,,
1944-09-01,,,,-1.9133,,,
1944-10-01,,,,-2.266,,,
1944-11-01,,,,-2.5922,,,
1944-12-01,,,,-2.0727,,,
1945-01-01,,,,-1.7794,,,
1945-02-01,,,,-1.5069,,,
1945-03-01,,,,-1.1727,,,
1945-04-01,,,,-1.4668,,,
1945-05-01,,,,-1.622,,,
1945-06-01,,,,-1.9024,,,
1945-07-01,,,,-2.458,,,
1945-08-01,,,,-3.307,,,
1945-09-01,,,,-7.6105,,,
1945-10-01,,,,-7.4518,,,
1945-11-01,,,,-6.5091,,,
1945-12-01,,,,-6.5695,,,
1946-01-01,,,,-4.9314,,,
1946-02-01,,,,-6.3322,,,
1946-03-01,,,,-3.8351,,,
1946-04-01,,,,-1.286,,,
1946-05-01,,,,0.1089,,,
1946-06-01,,,,1.4241,,,
1946-07-01,,,,3.1291,,,
1946-08-01,,,,5.3774,,,
1946-09-01,,,,11.4473,,,
1946-10-01,,,,11.6399,,,
1946-11-01,,,,11.2806,,,
1946-12-01,,,,10.9154,,,
1947-01-01,,,,9.3048,,,
