date,New Single-Family Homes Sold (SAAR) YoY %,Median Sales Price - New Homes YoY %,Average Sales Price - New Homes YoY %,Months Supply of New Houses YoY %,New Houses For Sale (SAAR) YoY %
1964-01-01,-7.1066,3.4884,,23.4043,11.0638
1964-02-01,31.25,1.6949,,-16.6667,10.084
1964-03-01,21.9089,4.3956,,-9.375,8.6777
1964-04-01,-7.6033,3.2967,,13.2075,5.6911
1964-05-01,-10.7509,10.2857,,21.5686,7.2581
1964-06-01,10.2662,4.4444,,-5.0,4.3478
1964-07-01,-13.5338,3.8043,,19.5652,3.5433
1964-08-01,2.1053,6.1798,,-3.5714,-2.2727
1964-09-01,0.0,5.5866,,0.0,-0.3891
1964-10-01,2.8219,7.3864,,-10.1695,-7.6642
1964-11-01,-5.3541,4.8913,,1.8182,-3.4884
1964-12-01,5.0584,12.2995,,-9.8361,-5.303
1965-01-01,-2.9144,16.2921,,-3.4483,-4.9808
1965-02-01,-8.2102,13.3333,,0.0,-4.1985
1965-03-01,-1.0676,4.2105,,-6.8966,-7.6046
1965-04-01,-0.7156,5.8511,,-6.6667,-6.9231
1965-05-01,4.0153,1.5544,,-14.5161,-10.5263
1965-06-01,5.8621,5.3191,,-17.5439,-10.9848
1965-07-01,-3.6522,9.9476,,-5.4545,-10.6464
1965-08-01,5.6701,6.8783,,-14.8148,-10.0775
1965-09-01,-0.5085,3.7037,,-9.2593,-9.7656
1965-10-01,-4.8027,5.291,,-5.6604,-10.2767
1965-11-01,12.4088,6.7358,,-17.8571,-7.2289
1965-12-01,12.7778,-3.3333,,-20.0,-9.6
1966-01-01,12.3827,2.4155,,-16.0714,-8.0645
1966-02-01,-3.22,2.451,,-10.9091,-10.757
1966-03-01,0.1799,5.0505,,-7.4074,-7.4074
1966-04-01,-1.8018,15.5779,,-8.9286,-8.6777
1966-05-01,-8.2721,13.7755,,0.0,-9.2437
1966-06-01,-29.316,7.0707,,27.6596,-8.9362
1966-07-01,-21.4801,3.8095,,13.4615,-10.6383
1966-08-01,-38.6992,2.4752,,47.8261,-10.3448
1966-09-01,-39.0119,13.2653,,46.9388,-9.9567
1966-10-01,-30.2703,4.5226,,26.0,-12.3348
1966-11-01,-37.987,5.3398,,34.7826,-16.4502
1966-12-01,-39.4089,6.8966,,43.1818,-14.1593
1967-01-01,-30.5509,4.717,,21.2766,-15.3509
1967-02-01,-24.5841,7.177,,16.3265,-13.3929
1967-03-01,-21.1849,7.6923,,8.0,-15.1111
1967-04-01,-12.1101,-3.0435,,-3.9216,-15.3846
1967-05-01,0.8016,6.278,,-15.0943,-13.4259
1967-06-01,14.977,12.7358,,-23.3333,-11.6822
1967-07-01,18.3908,6.8807,,-25.4237,-12.381
1967-08-01,33.687,4.8309,,-35.2941,-12.9808
1967-09-01,48.324,2.7027,,-40.2778,-11.5385
1967-10-01,46.2532,7.2115,,-34.9206,-5.5276
1967-11-01,30.8901,6.4516,,-25.8065,-3.6269
1967-12-01,36.0434,2.3041,,-25.3968,-3.6082
1968-01-01,18.75,5.4054,,-17.5439,-2.0725
1968-02-01,33.0882,4.9107,,-28.0702,-1.5464
1968-03-01,11.6173,9.8214,,-11.1111,0.5236
1968-04-01,4.5929,9.8655,,0.0,5.8824
1968-05-01,-12.326,6.7511,,22.2222,6.4171
1968-06-01,-11.6232,6.2762,,19.5652,6.3492
1968-07-01,-4.2718,5.5794,,15.9091,10.3261
