date,PCE Price Index YoY %,Core PCE (Less Food & Energy) YoY %
1960-01-01,1.6948,2.0708
1960-02-01,1.6997,2.1853
1960-03-01,1.692,2.0733
1960-04-01,1.8595,2.0039
1960-05-01,1.9111,2.0463
1960-06-01,1.6633,1.8036
1960-07-01,1.6337,1.742
1960-08-01,1.6574,1.7264
1960-09-01,1.4514,1.544
1960-10-01,1.3245,1.4272
1960-11-01,1.6026,1.5132
1960-12-01,1.5036,1.3276
1961-01-01,1.5823,1.3273
1961-02-01,1.5677,1.2364
1961-03-01,1.4502,1.2616
1961-04-01,1.0257,1.2152
1961-05-01,0.9795,1.1818
1961-06-01,0.9791,1.2754
1961-07-01,1.0159,1.2543
1961-08-01,0.9307,1.2149
1961-09-01,0.9879,1.3328
1961-10-01,0.8651,1.3071
1961-11-01,0.53,1.0541
1961-12-01,0.5363,1.1729
1962-01-01,0.7086,1.2662
1962-02-01,0.8865,1.3335
1962-03-01,1.0785,1.5387
1962-04-01,1.2515,1.4184
1962-05-01,1.2572,1.4289
1962-06-01,1.2758,1.464
1962-07-01,0.9993,1.3936
1962-08-01,1.0621,1.2993
1962-09-01,1.442,1.2968
1962-10-01,1.3468,1.2593
1962-11-01,1.4102,1.3147
1962-12-01,1.3464,1.258
1963-01-01,1.4009,1.3305
1963-02-01,1.2391,1.2791
1963-03-01,1.0228,1.1043
1963-04-01,0.9018,1.2084
1963-05-01,1.0021,1.2495
1963-06-01,1.1589,1.235
1963-07-01,1.4179,1.2401
1963-08-01,1.4096,1.3193
1963-09-01,0.8955,1.3046
1963-10-01,1.191,1.5363
1963-11-01,1.2653,1.5535
1963-12-01,1.4538,1.6687
1964-01-01,1.419,1.6169
1964-02-01,1.455,1.694
1964-03-01,1.5999,1.7294
1964-04-01,1.6812,1.697
1964-05-01,1.5288,1.5971
1964-06-01,1.4507,1.4978
1964-07-01,1.3795,1.5085
1964-08-01,1.3155,1.5493
1964-09-01,1.4896,1.4081
1964-10-01,1.3566,1.2249
1964-11-01,1.3547,1.2777
1964-12-01,1.3527,1.2759
