date,PPI Final Demand - Finished Goods YoY %,PPI Final Demand - Less Food & Energy YoY %
1948-04-01,8.0769,
1948-05-01,8.8123,
1948-06-01,9.1603,
1948-07-01,9.9237,
1948-08-01,9.8859,
1948-09-01,7.8652,
1948-10-01,7.0896,
1948-11-01,5.1661,
1948-12-01,2.8881,
1949-01-01,0.7117,
1949-02-01,0.3584,
1949-03-01,0.0,
1949-04-01,-0.7117,
1949-05-01,-2.1127,
1949-06-01,-3.1469,
1949-07-01,-4.5139,
1949-08-01,-5.1903,
1949-09-01,-4.8611,
1949-10-01,-4.878,
1949-11-01,-4.5614,
1949-12-01,-4.5614,
1950-01-01,-3.8869,
1950-02-01,-2.8571,
1950-03-01,-2.5,
1950-04-01,-2.1505,
1950-05-01,-1.0791,
1950-06-01,-0.361,
1950-07-01,1.8182,
1950-08-01,4.3796,
1950-09-01,5.4745,
1950-10-01,6.2271,
1950-11-01,8.0882,
1950-12-01,10.2941,
1951-01-01,12.1324,
1951-02-01,13.2353,
1951-03-01,13.1868,
1951-04-01,13.1868,
1951-05-01,13.0909,
1951-06-01,12.3188,
1951-07-01,10.0,
1951-08-01,7.3427,
1951-09-01,5.8824,
1951-10-01,6.2069,
1951-11-01,5.102,
1951-12-01,3.0,
1952-01-01,0.9836,
1952-02-01,-0.3247,
1952-03-01,0.0,
1952-04-01,-0.6472,
1952-05-01,-1.2862,
1952-06-01,-0.9677,
1952-07-01,0.0,
1952-08-01,0.0,
1952-09-01,0.0,
1952-10-01,-0.974,
1952-11-01,-1.6181,
1952-12-01,-2.2654,
1953-01-01,-1.6234,
1953-02-01,-1.6287,
1953-03-01,-1.9417,
1953-04-01,-1.6287,
1953-05-01,-1.3029,
1953-06-01,-0.9772,
1953-07-01,-0.974,
1953-08-01,-0.9772,
1953-09-01,-0.6536,
1953-10-01,-0.3279,
1953-11-01,-0.3289,
1953-12-01,0.6623,
1954-01-01,0.6601,
1954-02-01,0.6623,
1954-03-01,0.33,
1954-04-01,1.3245,
1954-05-01,0.9901,
1954-06-01,0.0,
1954-07-01,0.0,
1954-08-01,0.0,
1954-09-01,-0.3289,
1954-10-01,-0.6579,
