date,Unemployment Rate YoY %,U-1 Unemployed 15+ Weeks as % of Labor Force YoY %,U-2 Job Losers as % of Labor Force YoY %,U-4 + Discouraged Workers YoY %,U-5 + Other Marginally Attached YoY %,U-6 + Part-Time for Economic Reasons YoY %,Unemployed Less Than 5 Weeks (000s) YoY %,Unemployed 5-14 Weeks (000s) YoY %,Unemployed 15-26 Weeks (000s) YoY %,Unemployed 27+ Weeks (000s) YoY %,Total Unemployed (000s) YoY %,Median Duration of Unemployment (Weeks) YoY %,Average Duration of Unemployment (Weeks) YoY %
1949-01-01,,,,,,,27.1,41.03,15.3,-18.75,27.63,,-7.87
1949-02-01,,,,,,,16.41,31.31,50.62,7.44,22.38,,-1.19
1949-03-01,,,,,,,27.52,23.49,63.74,5.45,26.3,,-4.6
1949-04-01,,,,,,,13.07,68.73,51.16,44.95,36.63,,3.53
1949-05-01,,,,,,,64.4,85.84,86.36,76.15,75.02,,0.0
1949-06-01,,,,,,,34.34,129.95,123.04,111.86,70.55,,13.64
1949-07-01,,,,,,,47.1,119.28,186.7,188.79,85.77,,25.58
1949-08-01,,,,,,,24.02,149.07,183.33,164.84,78.43,,25.0
1949-09-01,,,,,,,32.61,98.42,261.4,179.53,75.89,,37.65
1949-10-01,,,,,,,92.73,111.45,236.17,170.59,117.62,,14.74
1949-11-01,,,,,,,39.65,82.11,234.76,352.63,74.88,,48.72
1949-12-01,,,,,,,22.07,101.15,167.96,313.13,67.27,,45.68
1950-01-01,,,,,,,17.88,75.66,160.19,282.69,55.08,,37.8
1950-02-01,,,,,,,-0.19,49.94,121.72,212.31,38.15,,42.17
1950-03-01,,,,,,,-7.85,29.66,64.43,263.79,27.92,,49.4
1950-04-01,,,,,,,-10.9,-3.84,38.46,197.47,9.66,,43.18
1950-05-01,,,,,,,-22.29,-18.93,15.85,116.15,-7.36,,39.56
1950-06-01,,,,,,,-15.1,-22.42,-2.2,69.2,-10.83,,31.0
1950-07-01,,,,,,,-23.81,-32.27,-20.04,9.39,-24.11,,15.74
1950-08-01,,,,,,,-33.24,-35.26,-42.04,-12.09,-33.25,,10.91
1950-09-01,,,,,,,-22.96,-41.04,-43.37,-16.06,-31.49,,4.27
1950-10-01,,,,,,,-45.88,-45.7,-57.91,-24.18,-46.6,,12.84
1950-11-01,,,,,,,-22.5,-39.21,-60.54,-39.53,-35.21,,-7.76
1950-12-01,,,,,,,-16.53,-48.21,-51.99,-46.94,-35.05,,-9.32
1951-01-01,,,,,,,-37.36,-45.3,-52.82,-55.03,-42.75,,-6.19
1951-02-01,,,,,,,-30.81,-54.39,-65.25,-51.23,-46.21,,-8.47
1951-03-01,,,,,,,-19.16,-58.01,-58.78,-63.74,-45.18,,-18.55
1951-04-01,,,,,,,-21.2,-55.33,-65.78,-70.21,-46.32,,-15.87
1951-05-01,,,,,,,-23.16,-51.53,-70.74,-68.67,-45.95,,-22.05
1951-06-01,,,,,,,-23.37,-39.82,-67.87,-72.81,-40.75,,-33.59
1951-07-01,,,,,,,-16.16,-49.74,-69.14,-62.43,-37.5,,-26.4
1951-08-01,,,,,,,-5.36,-45.23,-60.6,-60.74,-30.94,,-25.41
1951-09-01,,,,,,,1.73,-38.18,-70.0,-60.4,-25.49,,-25.41
1951-10-01,,,,,,,1.35,-16.62,-36.09,-64.52,-16.42,,-27.64
1951-11-01,,,,,,,-8.94,-16.56,-34.82,-40.38,-15.87,,-9.35
1951-12-01,,,,,,,-22.0,-21.52,-37.36,-52.53,-25.73,,-13.08
1952-01-01,,,,,,,-4.39,-20.09,-31.27,-41.9,-14.45,,-12.26
1952-02-01,,,,,,,6.68,-11.02,-14.89,-55.56,-7.56,,-18.52
1952-03-01,,,,,,,-5.35,-14.52,-27.23,-43.14,-14.68,,-16.83
1952-04-01,,,,,,,-1.98,-4.57,-19.48,-15.71,-5.63,,-15.09
1952-05-01,,,,,,,4.8,4.29,-2.16,-36.15,0.38,,-21.21
1952-06-01,,,,,,,6.31,-26.52,-0.7,-40.87,-5.56,,-16.09
1952-07-01,,,,,,,0.34,19.38,-4.51,-47.24,2.1,,-18.48
1952-08-01,,,,,,,7.26,11.88,12.88,-47.01,7.97,,-16.48
1952-09-01,,,,,,,-12.67,-1.46,76.19,-45.76,-6.34,,-10.99
1952-10-01,,,,,,,-17.9,-12.6,-16.47,-11.11,-16.18,,2.25
1952-11-01,,,,,,,-17.52,-21.75,-7.45,-56.77,-19.97,,-2.06
